Timestamp,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
5.109,-9.809551,-1.233305,5.442796,2.599409,-2.320158,6.803943,-3.27791,-1.957034,-7.019069,-10.219488,-1.441931,-10.887545,0.426281,0.477587,,0,0,
5.11,-7.520724,-4.285075,-2.186627,-3.259989,0.609541,2.287324,10.607644,1.552502,-10.070838,-14.369895,1.365698,-22.48427,0,0,,0,0,
5.111,-4.774131,-4.895429,-6.459104,-5.945547,2.318532,-0.032021,18.694834,3.230975,-9.765661,-10.707771,2.586405,-25.169828,0,0,,0,0,
5.112,-1.72236,-3.522133,-10.121227,-6.43383,2.806816,0.09005,19.762954,4.604272,-5.493184,-1.918673,1.365698,-20.531138,0,0,,0,0,
5.113,2.397529,-2.148836,-9.510873,-6.189688,2.562674,0.09005,15.337887,5.214626,1.831061,7.84699,-1.075718,-11.131686,0,0,,0,0,
5.114,4.991534,-3.216956,-2.796981,-1.306856,0.975754,-0.642375,9.539524,4.75686,5.798361,11.753256,-2.662639,-1.976377,0,0,,0.459205,2.026996,
5.115,4.686357,-6.421314,6.05315,6.017391,-1.953945,-2.351366,6.029989,3.383564,8.239777,11.509114,-0.831577,2.296101,0.322798,0.994093,,0.100922,1.396775,
5.116,3.618237,-8.404965,13.682572,13.585781,-4.273291,-5.647278,4.046338,1.70509,3.662123,5.405574,0.999485,3.272668,0.312316,0.992926,,0,0,
5.117,3.31306,-6.726491,13.377395,14.074064,-3.540866,-7.356269,-1.294259,-1.041503,-1.220708,0.766884,2.586405,7.056862,0.26469,1.052078,,0,0,
5.118,3.618237,-2.75919,7.273857,8.94709,-0.733238,-5.281065,-11.517689,-3.635507,-0.915531,0.522743,1.976052,14.625252,0.100804,1.230034,,0,0,
5.119,2.855295,1.360699,-1.271096,-0.574432,2.562674,-1.008588,-23.114415,-3.940684,0.610354,0.766884,-2.296426,22.07157,0,0,,0,0,
5.12,-1.569772,3.496938,-7.069458,-9.119387,3.41717,4.484598,-30.438663,-2.567388,2.441415,1.987592,-6.080621,25.00127,0,0,,0,0,
5.121,-9.046609,2.581407,-8.595342,-9.119387,1.219895,9.001218,-27.844659,-0.431149,2.441415,2.720017,-6.690975,19.386013,0,0,,0,0,
5.122,-12.861321,0.597757,-5.543573,-2.039281,-1.831875,8.635005,-13.959105,2.162856,2.746592,5.161433,-2.90678,4.371305,0,0,,0,0,
5.123,-9.199197,-0.470363,4.832442,9.435374,-4.029149,3.385961,5.8774,5.062037,0.915531,4.429008,1.976052,-15.160023,0.833771,1.952506,,0,0,
5.124,0.871644,-1.538482,12.767042,15.538913,-3.418795,-4.060358,23.730255,7.198276,-2.136238,3.2083,5.027821,-30.540943,0.267783,1.217112,,0,0,
5.125,10.789897,-2.911779,12.461865,12.853356,-0.122884,-10.285968,33.343331,7.198276,-2.136238,3.696583,4.905751,-35.912058,0.009861,1.031415,,0,0,
5.126,13.841667,-4.437664,7.884211,6.505675,2.440603,-11.384605,31.664857,6.282745,-1.831061,1.987592,0.999485,-30.296801,-0.309556,0.825152,,0,0,
5.127,8.348481,-4.437664,-0.050389,-1.062715,2.196462,-6.745915,24.035432,4.75686,-3.662123,-3.627665,-2.540568,-20.042855,0,0,,0,0,
5.128,-0.349064,-1.691071,-5.543573,-5.701405,-0.244954,-0.398234,14.574945,2.010267,-3.9673,-6.801505,-2.78471,-9.178554,0,0,,0,0,
5.129,-5.537073,2.581407,-3.712512,-2.771706,-2.442229,4.240457,4.046338,-1.041503,-4.577654,-7.289788,-1.930214,0.953323,0,0,,0,0,
5.13,-3.706011,4.717646,3.611734,7.238099,-3.052583,4.72874,-5.414149,-3.635507,-1.220708,-5.092514,0.022919,7.545146,0,0,,0,0,
5.131,2.244941,3.496938,10.020449,14.074064,-1.953945,0.09005,-13.348751,-4.39845,3.662123,0.522743,1.976052,12.061765,0.194996,1.404534,,0,0,
5.132,4.686357,1.513288,9.715273,10.900223,0.243329,-4.060358,-21.435942,-3.788096,2.441415,2.475875,1.121556,18.653588,-0.025046,1.121968,,0,0,
5.133,1.176821,0.902934,5.747973,3.820117,0.853683,-3.450004,-29.370544,-3.025153,0.915531,2.231734,-1.808143,27.930969,-0.148519,0.664603,,0,0,
5.134,-4.316365,3.039173,0.254788,-4.480697,0.121258,1.188687,-33.032668,-1.34668,-0.915531,0.522743,-4.859913,33.546225,0,0,,0,0,
5.135,-7.520724,6.243531,-2.796981,-9.119387,-1.221521,7.292227,-28.455013,1.247325,-3.9673,-2.651098,-5.836479,30.738597,0,0,,0,0,
5.136,-6.605193,6.548708,-3.102158,-5.945547,-2.68637,10.710209,-15.942755,4.146506,-5.493184,-6.557364,-4.005418,19.508084,0,0,,0,0,
